classification_id,subject_data,annotations,subject_ids
501906814,"{""90800803"": {""retired"": {""id"": 118049510, ""workflow_id"": 24745, ""classifications_count"": 2, ""created_at"": ""2023-07-19T08:16:38.844Z"", ""updated_at"": ""2023-07-21T15:38:16.017Z"", ""retired_at"": ""2023-07-21T15:38:16.008Z"", ""subject_id"": 90800803, ""retirement_reason"": ""classification_count""}, ""png"": ""794673-14.png"", ""log_png"": ""log-794673-14.png"", ""Image Number"": ""794673-14""}}","[{""task"": ""T1"", ""task_label"": ""How many peaks are in this image?"", ""value"": ""2""}, {""task"": ""T3"", ""task_label"": ""Please draw a shape around each peak, as close to the exact shape of the peak as possible"", ""value"": [{""tool"": 0, ""frame"": 0, ""closed"": true, ""points"": [{""x"": 378.4087829589844, ""y"": 143.58251953125}, {""x"": 390.4372863769531, ""y"": 101.88371276855469}, {""x"": 388.83349609375, ""y"": 81.03430938720703}, {""x"": 416.0981140136719, ""y"": 60.18490982055664}, {""x"": 437.7493896484375, ""y"": 69.00580596923828}, {""x"": 438.5513000488281, ""y"": 109.1008071899414}, {""x"": 408.0791015625, ""y"": 141.17681884765625}], ""details"": [], ""tool_label"": ""Polygon""}, {""tool"": 0, ""frame"": 0, ""closed"": true, ""points"": [{""x"": 79.14229583740234, ""y"": 0.20393532514572144}, {""x"": 71.92520141601562, ""y"": 27.628915786743164}, {""x"": 76.9771728515625, ""y"": 79.592041015625}, {""x"": 66.15151977539062, ""y"": 84.64400482177734}, {""x"": 74.81204223632812, ""y"": 90.41768646240234}, {""x"": 89.96794891357422, ""y"": 83.2005844116211}, {""x"": 87.08110809326172, ""y"": 65.1578369140625}, {""x"": 86.3593978881836, ""y"": 24.742076873779297}, {""x"": 101.51531219482422, ""y"": 16.803266525268555}, {""x"": 94.29821014404297, ""y"": 1.647355318069458}], ""details"": [], ""tool_label"": ""Polygon""}]}]",90800803
501907093,"{""90800637"": {""retired"": null, ""png"": ""794625-33.png"", ""log_png"": ""log-794625-33.png"", ""Image Number"": ""794625-33""}}","[{""task"": ""T1"", ""task_label"": ""How many peaks are in this image?"", ""value"": ""3""}, {""task"": ""T3"", ""task_label"": ""Please draw a shape around each peak, as close to the exact shape of the peak as possible"", ""value"": [{""tool"": 0, ""frame"": 1, ""closed"": true, ""points"": [{""x"": 250.5103302001953, ""y"": 192.2720947265625}, {""x"": 245.26153564453125, ""y"": 179.80618286132812}, {""x"": 269.5372314453125, ""y"": 165.3719940185547}, {""x"": 262.9762268066406, ""y"": 179.80618286132812}, {""x"": 270.1933288574219, ""y"": 194.24038696289062}], ""details"": [], ""tool_label"": ""Polygon""}, {""tool"": 0, ""frame"": 1, ""closed"": true, ""points"": [{""x"": 237.3404998779297, ""y"": 60.699798583984375}, {""x"": 237.3404998779297, ""y"": 82.69979858398438}, {""x"": 233.3404998779297, ""y"": 106.69979858398438}, {""x"": 239.3404998779297, ""y"": 118.69979858398438}, {""x"": 232.3404998779297, ""y"": 155.69979858398438}, {""x"": 231.3404998779297, ""y"": 177.69979858398438}, {""x"": 246.3404998779297, ""y"": 173.69979858398438}, {""x"": 251.3404998779297, ""y"": 155.69979858398438}, {""x"": 289.3404998779297, ""y"": 156.69979858398438}, {""x"": 313.3404998779297, ""y"": 126.69979858398438}, {""x"": 313.3404998779297, ""y"": 86.69979858398438}, {""x"": 294.3404998779297, ""y"": 70.69979858398438}, {""x"": 271.3404998779297, ""y"": 61.699798583984375}, {""x"": 243.3404998779297, ""y"": 40.699798583984375}], ""details"": [], ""tool_label"": ""Polygon""}, {""tool"": 0, ""frame"": 1, ""closed"": true, ""points"": [{""x"": 241.576171875, ""y"": 0.7649537920951843}, {""x"": 241.09788513183594, ""y"": 20.3751277923584}, {""x"": 246.35914611816406, ""y"": 23.723207473754883}, {""x"": 252.57701110839844, ""y"": 18.46194076538086}, {""x"": 250.663818359375, ""y"": 5.069626331329346}, {""x"": 255.44679260253906, ""y"": -0.19164007902145386}], ""details"": [], ""tool_label"": ""Polygon""}]}]",90800637
501907245,"{""90801062"": {""retired"": null, ""png"": ""794916-26.png"", ""log_png"": ""log-794916-26.png"", ""Image Number"": ""794916-26""}}","[{""task"": ""T1"", ""task_label"": ""How many peaks are in this image?"", ""value"": ""1""}, {""task"": ""T3"", ""task_label"": ""Please draw a shape around each peak, as close to the exact shape of the peak as possible"", ""value"": [{""tool"": 0, ""frame"": 1, ""closed"": true, ""points"": [{""x"": 243.09666442871094, ""y"": 32.31650733947754}, {""x"": 236.6814727783203, ""y"": 53.16590881347656}, {""x"": 242.29476928710938, ""y"": 70.00580596923828}, {""x"": 232.67196655273438, ""y"": 96.46851348876953}, {""x"": 235.07766723632812, ""y"": 118.11981201171875}, {""x"": 243.89857482910156, ""y"": 127.74261474609375}, {""x"": 244.70046997070312, ""y"": 147.7901153564453}, {""x"": 257.95556640625, ""y"": 169.01670837402344}, {""x"": 289.60687255859375, ""y"": 155.00721740722656}, {""x"": 305.6448669433594, ""y"": 130.95021057128906}, {""x"": 308.0505676269531, ""y"": 97.2704086303711}, {""x"": 301.6353759765625, ""y"": 73.21340942382812}, {""x"": 279.98406982421875, ""y"": 53.96780776977539}, {""x"": 265.54986572265625, ""y"": 49.156410217285156}, {""x"": 253.5213623046875, ""y"": 54.769710540771484}, {""x"": 249.51187133789062, ""y"": 37.127906799316406}], ""details"": [], ""tool_label"": ""Polygon""}]}]",90801062
501907319,"{""90800715"": {""retired"": {""id"": 118049578, ""workflow_id"": 24745, ""classifications_count"": 2, ""created_at"": ""2023-07-19T08:20:17.824Z"", ""updated_at"": ""2023-07-19T10:23:10.908Z"", ""retired_at"": ""2023-07-19T10:23:10.898Z"", ""subject_id"": 90800715, ""retirement_reason"": ""classification_count""}, ""png"": ""794661-49.png"", ""log_png"": ""log-794661-49.png"", ""Image Number"": ""794661-49""}}","[{""task"": ""T1"", ""task_label"": ""How many peaks are in this image?"", ""value"": ""2""}, {""task"": ""T3"", ""task_label"": ""Please draw a shape around each peak, as close to the exact shape of the peak as possible"", ""value"": [{""tool"": 0, ""frame"": 0, ""closed"": true, ""points"": [{""x"": 441.6612243652344, ""y"": 33.67900466918945}, {""x"": 437.9411315917969, ""y"": 49.09079360961914}, {""x"": 451.75860595703125, ""y"": 57.593849182128906}, {""x"": 468.2332763671875, ""y"": 54.9366455078125}, {""x"": 479.3935241699219, ""y"": 36.867652893066406}, {""x"": 478.8620910644531, ""y"": 27.83315658569336}, {""x"": 466.1075134277344, ""y"": 20.392982482910156}, {""x"": 454.9472351074219, ""y"": 10.29560375213623}, {""x"": 440.06689453125, ""y"": 13.484249114990234}, {""x"": 440.59832763671875, ""y"": 22.51874542236328}], ""details"": [], ""tool_label"": ""Polygon""}, {""tool"": 0, ""frame"": 0, ""closed"": true, ""points"": [{""x"": 3.346834659576416, ""y"": 140.216552734375}, {""x"": 3.8782756328582764, ""y"": 150.3139190673828}, {""x"": 16.101417541503906, ""y"": 139.6851043701172}, {""x"": 11.849889755249023, ""y"": 135.96502685546875}], ""details"": [], ""tool_label"": ""Polygon""}]}]",90800715
501907398,"{""90800673"": {""retired"": {""id"": 118050082, ""workflow_id"": 24745, ""classifications_count"": 2, ""created_at"": ""2023-07-19T08:37:15.067Z"", ""updated_at"": ""2023-07-21T08:45:15.570Z"", ""retired_at"": ""2023-07-21T08:45:15.561Z"", ""subject_id"": 90800673, ""retirement_reason"": ""classification_count""}, ""png"": ""794661-8.png"", ""log_png"": ""log-794661-8.png"", ""Image Number"": ""794661-8""}}","[{""task"": ""T1"", ""task_label"": ""How many peaks are in this image?"", ""value"": ""1""}, {""task"": ""T3"", ""task_label"": ""Please draw a shape around each peak, as close to the exact shape of the peak as possible"", ""value"": [{""tool"": 0, ""frame"": 0, ""closed"": true, ""points"": [{""x"": 216.2631378173828, ""y"": 108.52201080322266}, {""x"": 215.83267211914062, ""y"": 123.58836364746094}, {""x"": 219.2764129638672, ""y"": 145.11172485351562}, {""x"": 223.58108520507812, ""y"": 132.628173828125}, {""x"": 227.45529174804688, ""y"": 124.01882934570312}, {""x"": 241.66070556640625, ""y"": 115.83995056152344}, {""x"": 231.7599639892578, ""y"": 108.95247650146484}, {""x"": 230.89901733398438, ""y"": 98.1907958984375}, {""x"": 223.58108520507812, ""y"": 93.45565795898438}, {""x"": 217.55453491210938, ""y"": 102.49546813964844}], ""details"": [], ""tool_label"": ""Polygon""}]}]",90800673
501907601,"{""90800860"": {""retired"": {""id"": 118049653, ""workflow_id"": 24745, ""classifications_count"": 2, ""created_at"": ""2023-07-19T08:24:36.463Z"", ""updated_at"": ""2023-07-21T08:08:16.852Z"", ""retired_at"": ""2023-07-21T08:08:16.831Z"", ""subject_id"": 90800860, ""retirement_reason"": ""classification_count""}, ""png"": ""794689-10.png"", ""log_png"": ""log-794689-10.png"", ""Image Number"": ""794689-10""}}","[{""task"": ""T1"", ""task_label"": ""How many peaks are in this image?"", ""value"": ""3""}, {""task"": ""T3"", ""task_label"": ""Please draw a shape around each peak, as close to the exact shape of the peak as possible"", ""value"": [{""tool"": 0, ""frame"": 0, ""closed"": true, ""points"": [{""x"": 282.75848388671875, ""y"": 123.11064147949219}, {""x"": 283.69989013671875, ""y"": 129.70066833496094}, {""x"": 288.09326171875, ""y"": 130.0144805908203}, {""x"": 288.72088623046875, ""y"": 122.79683685302734}], ""details"": [], ""tool_label"": ""Polygon""}, {""tool"": 0, ""frame"": 0, ""closed"": true, ""points"": [{""x"": 354.2411193847656, ""y"": 66.07743072509766}, {""x"": 357.34783935546875, ""y"": 73.32645416259766}, {""x"": 360.7997741699219, ""y"": 72.29087829589844}, {""x"": 360.109375, ""y"": 64.35147094726562}], ""details"": [], ""tool_label"": ""Polygon""}, {""tool"": 0, ""frame"": 0, ""closed"": true, ""points"": [{""x"": 220.308349609375, ""y"": 16.98126792907715}, {""x"": 224.79583740234375, ""y"": 17.326459884643555}, {""x"": 225.1410369873047, ""y"": 22.159143447875977}, {""x"": 219.96315002441406, ""y"": 21.123567581176758}], ""details"": [], ""tool_label"": ""Polygon""}]}]",90800860
501907732,"{""90800750"": {""retired"": {""id"": 118049739, ""workflow_id"": 24745, ""classifications_count"": 2, ""created_at"": ""2023-07-19T08:26:52.494Z"", ""updated_at"": ""2023-07-19T11:11:26.964Z"", ""retired_at"": ""2023-07-19T11:11:26.955Z"", ""subject_id"": 90800750, ""retirement_reason"": ""classification_count""}, ""png"": ""794663-23.png"", ""log_png"": ""log-794663-23.png"", ""Image Number"": ""794663-23""}}","[{""task"": ""T1"", ""task_label"": ""How many peaks are in this image?"", ""value"": ""2""}, {""task"": ""T3"", ""task_label"": ""Please draw a shape around each peak, as close to the exact shape of the peak as possible"", ""value"": [{""tool"": 0, ""frame"": 1, ""closed"": true, ""points"": [{""x"": 229.10223388671875, ""y"": 121.89718627929688}, {""x"": 260.4492492675781, ""y"": 120.4391860961914}, {""x"": 291.0672302246094, ""y"": 114.60718536376953}, {""x"": 302.0022277832031, ""y"": 93.4661865234375}, {""x"": 288.8802490234375, ""y"": 81.80218505859375}, {""x"": 258.2622375488281, ""y"": 70.13819122314453}, {""x"": 226.1862335205078, ""y"": 77.42819213867188}, {""x"": 205.7742462158203, ""y"": 90.55018615722656}, {""x"": 207.23223876953125, ""y"": 111.6911849975586}], ""details"": [], ""tool_label"": ""Polygon""}, {""tool"": 0, ""frame"": 1, ""closed"": true, ""points"": [{""x"": 312.21966552734375, ""y"": 167.82310485839844}, {""x"": 318.12457275390625, ""y"": 181.99485778808594}, {""x"": 327.5723876953125, ""y"": 186.12828063964844}, {""x"": 340.56317138671875, ""y"": 186.12828063964844}, {""x"": 354.1444396972656, ""y"": 171.95652770996094}, {""x"": 345.287109375, ""y"": 156.0133056640625}, {""x"": 330.52484130859375, ""y"": 149.51791381835938}, {""x"": 321.6675109863281, ""y"": 159.5562286376953}], ""details"": [], ""tool_label"": ""Polygon""}]}]",90800750
501907831,"{""90800991"": {""retired"": {""id"": 118049700, ""workflow_id"": 24745, ""classifications_count"": 2, ""created_at"": ""2023-07-19T08:25:20.967Z"", ""updated_at"": ""2023-07-20T08:18:00.143Z"", ""retired_at"": ""2023-07-20T08:18:00.126Z"", ""subject_id"": 90800991, ""retirement_reason"": ""classification_count""}, ""png"": ""794910-17.png"", ""log_png"": ""log-794910-17.png"", ""Image Number"": ""794910-17""}}","[{""task"": ""T1"", ""task_label"": ""How many peaks are in this image?"", ""value"": ""1""}, {""task"": ""T3"", ""task_label"": ""Please draw a shape around each peak, as close to the exact shape of the peak as possible"", ""value"": [{""tool"": 0, ""frame"": 1, ""closed"": true, ""points"": [{""x"": 276.6341552734375, ""y"": 119.76033020019531}, {""x"": 280.077880859375, ""y"": 133.9657440185547}, {""x"": 285.6739501953125, ""y"": 143.00555419921875}, {""x"": 283.95208740234375, ""y"": 150.32350158691406}, {""x"": 275.3427429199219, ""y"": 147.74070739746094}, {""x"": 269.31622314453125, ""y"": 150.32350158691406}, {""x"": 268.45526123046875, ""y"": 141.7141571044922}, {""x"": 269.31622314453125, ""y"": 128.80014038085938}], ""details"": [], ""tool_label"": ""Polygon""}]}]",90800991
501908313,"{""90800798"": {""retired"": null, ""png"": ""794673-9.png"", ""log_png"": ""log-794673-9.png"", ""Image Number"": ""794673-9""}}","[{""task"": ""T1"", ""task_label"": ""How many peaks are in this image?"", ""value"": ""2""}, {""task"": ""T3"", ""task_label"": ""Please draw a shape around each peak, as close to the exact shape of the peak as possible"", ""value"": [{""tool"": 0, ""frame"": 0, ""closed"": true, ""points"": [{""x"": 89.22982025146484, ""y"": -0.8403246402740479}, {""x"": 80.04441833496094, ""y"": 2.4401755332946777}, {""x"": 76.10781860351562, ""y"": 15.562175750732422}, {""x"": 77.4200210571289, ""y"": 28.028076171875}, {""x"": 72.82731628417969, ""y"": 41.15007781982422}, {""x"": 70.20291900634766, ""y"": 62.80137634277344}, {""x"": 72.82731628417969, ""y"": 79.2038803100586}, {""x"": 82.0127182006836, ""y"": 84.45268249511719}, {""x"": 93.16641998291016, ""y"": 75.26728057861328}, {""x"": 97.10301971435547, ""y"": 63.457481384277344}, {""x"": 97.75911712646484, ""y"": 40.49397659301758}, {""x"": 103.66401672363281, ""y"": 29.996376037597656}, {""x"": 104.9762191772461, ""y"": 12.281676292419434}], ""details"": [], ""tool_label"": ""Polygon""}, {""tool"": 0, ""frame"": 0, ""closed"": true, ""points"": [{""x"": 393.51513671875, ""y"": 90.77928161621094}, {""x"": 413.1981506347656, ""y"": 82.2499771118164}, {""x"": 432.8811340332031, ""y"": 94.71588134765625}, {""x"": 432.22503662109375, ""y"": 111.77448272705078}, {""x"": 426.32012939453125, ""y"": 124.896484375}, {""x"": 421.7274475097656, ""y"": 136.70628356933594}, {""x"": 408.6054382324219, ""y"": 128.17698669433594}, {""x"": 390.8907470703125, ""y"": 130.14527893066406}, {""x"": 392.8590393066406, ""y"": 117.02327728271484}, {""x"": 388.92242431640625, ""y"": 101.93297576904297}], ""details"": [], ""tool_label"": ""Polygon""}]}]",90800798
501908463,"{""90801050"": {""retired"": null, ""png"": ""794916-14.png"", ""log_png"": ""log-794916-14.png"", ""Image Number"": ""794916-14""}}","[{""task"": ""T1"", ""task_label"": ""How many peaks are in this image?"", ""value"": ""2""}, {""task"": ""T3"", ""task_label"": ""Please draw a shape around each peak, as close to the exact shape of the peak as possible"", ""value"": [{""tool"": 0, ""frame"": 1, ""closed"": true, ""points"": [{""x"": 236.41249084472656, ""y"": 36.3179931640625}, {""x"": 239.65249633789062, ""y"": 58.99799346923828}, {""x"": 234.79249572753906, ""y"": 77.62799072265625}, {""x"": 221.83248901367188, ""y"": 90.5879898071289}, {""x"": 225.07249450683594, ""y"": 110.02799224853516}, {""x"": 227.5024871826172, ""y"": 122.98799133300781}, {""x"": 231.552490234375, ""y"": 135.947998046875}, {""x"": 243.70248413085938, ""y"": 157.8179931640625}, {""x"": 271.24249267578125, ""y"": 152.95799255371094}, {""x"": 280.1524963378906, ""y"": 130.2779998779297}, {""x"": 297.1625061035156, ""y"": 108.40798950195312}, {""x"": 287.4425048828125, ""y"": 79.24799346923828}, {""x"": 268.8125, ""y"": 67.09799194335938}, {""x"": 258.2825012207031, ""y"": 46.037994384765625}, {""x"": 245.32249450683594, ""y"": 26.597991943359375}], ""details"": [], ""tool_label"": ""Polygon""}, {""tool"": 0, ""frame"": 1, ""closed"": true, ""points"": [{""x"": 235.01217651367188, ""y"": 15.055413246154785}, {""x"": 244.69700622558594, ""y"": 20.655094146728516}, {""x"": 253.46571350097656, ""y"": 19.7396183013916}, {""x"": 254.69895935058594, ""y"": 7.659935474395752}, {""x"": 239.80184936523438, ""y"": 2.8350950479507446}], ""details"": [], ""tool_label"": ""Polygon""}]}]",90801050
